label	tagged_in_context
not_propaganda	Just as Tom Weinandy <BOS> has, in effect, <EOS> just said.” 
not_propaganda	The victim can be seen being dragged in the <BOS> following <EOS> video. 
not_propaganda	Paddock <BOS> showed up to buy <EOS> ammunition at Haig's home after meeting him at a gun show in Phoenix. 
flag_waving	“My conviction and subsequent sentence for a minor military infraction compared to the treatment of politically connected individuals is a glaring example of a violation of the rights of all <BOS> Americans <EOS> to have equal protection under the law.” 
flag_waving	This kind of behavior is not acceptable for anyone in a civilized society – <BOS> and that goes double for someone that is supposed to be one of the leaders of our nation <EOS>. 
exaggeration,minimisation	Bon Mueller is <BOS> totally conflicted <EOS>, and his 17 angry Democrats that are doing his dirty work are a disgrace to [sic] USA!” Trump wrote. 
repetition	18 In order to obtain juridical <BOS> autonomy <EOS> for a monastery of nuns, it must presuppose a real autonomy of life, that is, the ability to manage the life of the monastery in all its dimensions (vocational, formative, governmental, relational, liturgical, economic ...). 
appeal_to_fear_prejudice	<BOS> "If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties <EOS>," Reuters quoted German Foreign Minister Sigmar Gabriel as saying. 
repetition	Editor's Note: The Remnant has lunched its own #<BOS> StopTheSynod <EOS> petition, for those who would rather not go to Change.org. 
not_propaganda	<BOS> Wouldn’t <EOS> that be so wild!” 
flag_waving	Hungary's Prime Minister Viktor Orban has been somewhat of a lone voice in Europe against the Muslim invasion, and on Wednesday he gave a "<BOS> Hungary First <EOS>" speech in which he declared that he would "fight those who want to change the Christian Identity of Europe." 
not_propaganda	take our poll <BOS> - <EOS> story continues below 
not_propaganda	Nuncio Sambi’s report [on McCarrick’s sexual abuse], with all the attachments, was sent to Cardinal <BOS> Tarcisio Bertone, <EOS> as Secretary of State. 
repetition	When the Russians retaliated, <BOS> the Trump administration <EOS> closed the Russian consulate in Seattle. 
not_propaganda	The DOJ announced in 2016 it would no <BOS> longer release potentially deportable detainees to local jails without first allowing ICE <EOS> to take custody. 
loaded_language	I want to recall this indefectible truth of the Church’s holiness to the many people who have been so deeply scandalized by the <BOS> abominable <EOS> and sacrilegious behavior of the former Archbishop of Washington, Theodore McCarrick; by the grave, disconcerting and sinful conduct of Pope Francis and by the conspiracy of silence of so many pastors, and who are tempted to abandon the Church, disfigured by so many ignominies. 
causal_oversimplification	<BOS> She knew it would be made public <EOS>. 
not_propaganda	<BOS> Is this why <EOS> he resigned? 
not_propaganda	While <BOS> the American government was engaged in a number of “black” or covert intelligence activities to locate Al Qaeda leaders, Mr. Kirk said, the “white” or public efforts – which have succeeded in the past in leading to the capture of wanted terrorists – were effectively shut down in the months following <EOS> the September 11 attacks. 
not_propaganda	“I sort <BOS> of <EOS> understood what was going on,” Muhammad told TPM. 
loaded_language	“<BOS> It’s a cracker state <EOS>.” 
exaggeration,minimisation	Well, <BOS> that’s a good name. Hitler was a very great man <EOS>.” 
not_propaganda	I myself brought up the subject [of McCarrick] with Cardinal Wuerl on several occasions, and I certainly didn’t need to go into detail because it was immediately clear to me that he was fully <BOS> aware <EOS> of it. 
not_propaganda	Apparently, the US didn't learn from its first dealings in regime change decades ago and is <BOS> now prepared to give it another shot, according <EOS> to leaked documents. 
not_propaganda	“It’s not teaching religion, but it teaches character and <BOS> respect and how important <EOS> it is to tell the truth,” she said. 
not_propaganda	<BOS> Keep in mind that <EOS> at least four videos from the scene of the shooting have already been released that indicate there were multiple shooters. 
flag_waving	<BOS> The faithful deserve to know <EOS>. 
appeal_to_fear_prejudice	As the old saying goes, "<BOS> If you like down with dogs, you're going to get fleas <EOS>." 
not_propaganda	Its purpose was to discuss <BOS> information that Warren had received that Oswald was actually a U.S. intelligence agent or <EOS> an informant for the FBI or both. 
not_propaganda	Congressman: "Credible Evidence" Of <BOS> “Terrorist Infiltration Through the Southern Border” Related To <EOS> Las Vegas Shooting 
not_propaganda	The Senate intelligence committee is expected to have a confirmation hearing for Haspel in coming weeks, followed by a vote in the <BOS> full <EOS> Senate. 
not_propaganda	Israel will also do what is necessary to <BOS> repel Iranian-backed forces if they edge too close to areas near the Golan Heights, shrinking the buffer between Israel <EOS> and Iranian controlled territories. 
exaggeration,minimisation	That last statement comes amid <BOS> nearly constant complaints from Trump <EOS> that Justice Department and FBI investigators are being unfair to the president and his allies. 
not_propaganda	And through the abandonment of his duty to shepherd the Church, he <BOS> made way for the worst <EOS> papacy of all time – one he steadfastly refuses to oppose in word, deed, or even the subtlest gesture. 
not_propaganda	Hardly an encouragement <BOS> for <EOS> North Korea. 
not_propaganda	“We can’t talk about stability in the Middle East without <BOS> talking about Iran,” <EOS> Ambassador Haley said. 
flag_waving	Facebook also refused to respond to Glazov’s inquiry about “what it is specifically that violates Facebook’s ‘community standards’ when a person gives advice on <BOS> how to best defend American lives from jihad <EOS>.” 
name_calling,labeling	The government must also bring in <BOS> brave Muslim individuals who genuinely reject Jihad <EOS> and empower them in propagating their anti-jihadist vision for Islam. 
not_propaganda	Would President Trump be willing to fight a new <BOS> war to keep Iran from consolidating its <EOS> position in Iraq and Syria? 
not_propaganda	Her top role at the NSC represents McMaster’s vision for <BOS> our approach to <EOS> Islam. 
not_propaganda	Now Assange and his supporters have been <BOS> proved right <EOS> once again. 
appeal_to_fear_prejudice	<BOS> They are motivated to get to the polls this November. So it is crucial that you and your pro-gun friends get to the polls <EOS>. 
not_propaganda	In July 2017, Zakkout posted on his Facebook page a four-minute portion of a speech given by Louis Farrakhan at the <BOS> Nation of Islam’s February 2017 Saviors’ Day. <EOS> 
not_propaganda	<BOS> On Jan. 17, Abid filed notarized papers using <EOS> those rights to replace Gilani with himself as beneficiary. 
flag_waving	Kavanaugh must testify first, a grotesque inversion of <BOS> our bedrock principle that an accused has the right to confront his accuser’s charges <EOS>. 
appeal_to_fear_prejudice	<BOS> Only the silence of good people will allow them to win <EOS>. 
not_propaganda	President Donald Trump took to Twitter Wednesday to call on <BOS> his Attorney General <EOS> Jeff Sessions to shut down special counsel Robert Mueller’s investigation into Russian interference in the 2016 election. 
exaggeration,minimisation	May God give them the grace to do what must be done and what history will vindicate as a rescue of the Church <BOS> during the height of the worst crisis in her history <EOS>. 
not_propaganda	<BOS> The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood <EOS> at 207. 
name_calling,labeling	Afraid of their own shadows, committee Republicans didn’t relish the prospect of their <BOS> all-male team <EOS> of 11 senators questioning a woman so they hired sex-crimes prosecutor Rachel Mitchell of Maricopa County, Arizona, to examine Ford. 
not_propaganda	Imran, Abid <BOS> and Jamal Awan — along with Imran’s wife, Hina Alvi, and a friend — worked as IT administrators for 1 out of every 5 House Democrats and could read all their emails and files until police banned them from the network in February 2017for “numerous violations of House security policies.” Months later, none of the family is in jail, and the stepmother and other witnesses have said Imran and Abid have used their freedom to try to steer the outcome of the case since, <EOS> including by threatening them not to cooperate with authorities, TheDCNF previously reported. 
causal_oversimplification	<BOS> These actions, committed by more than a few, can only be classified as evil, evil that cries out for justice and sin that must be cast out from our Church <EOS>. 
name_calling,labeling	This email leaked to Fox News and Breitbart News and is now likely to become a centerpiece in the case that Google is throwing its weight around to interfere in elections in the United States in <BOS> a partisan manner <EOS> against the duly elected President of the United States. 
causal_oversimplification	<BOS> The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation <EOS>. 
not_propaganda	The goal was to align the Church more with modern world: a world defined, to a considerable extent, by its rejection of <BOS> the Catholic world that flourished before the Protestant Reformation <EOS> and French Revolution. 
not_propaganda	take our poll <BOS> - story continues below Whom do you <EOS> consider to be the most corrupt Democrat Politician? 
doubt	<BOS> What are these people smoking? <EOS> 
name_calling,labeling	Moreover, the scandalous pack of frauds we currently have in the episcopate is entirely the product of the “<BOS> arch-conservative” <EOS> John Paul II and the “Rottweiler” Benedict XVI pontificates. 
causal_oversimplification	As Michel Martin pointed out in an article in Rome et d’Ailleurs for September-October 1983, “The truth is that <BOS> the problem of the death penalty is insoluble except from a Christian point of view <EOS>.” That it figured so prominently in Christian societies is due to the fact that, in the order of charity, atonement to God was sought above any atonement due to man, and the spiritual welfare of citizens above their physical well-being. 
not_propaganda	None <BOS> other than Francis appointed <EOS> Fr. 
not_propaganda	Phone This field is for validation purposes <BOS> and should be left unchanged. <EOS> 
doubt	<BOS> But several people who had followed the Russiagate fairytale and the Mueller investigation were immediately suspicious of the Guardian claim <EOS>. 
repetition	Refugees in Europe are just “<BOS> Muslim invaders <EOS>” and economic migrants seeking better lives, Hungarian PM Viktor Orban has said, adding that the large number of Muslims in the EU had led to the appearance of ‘parallel societies.’ Asked in an interview with the German Bild newspaper why Budapest does not want to accept any refugees, Orban replied: “We don’t consider these people to be Muslim refugees.” Instead, the tough-talking politician said they were regarded as “Muslim invaders.” Asylum seekers must cross four countries to reach Hungary from Syria, all of which are not as rich as Germany but are economically stable, the PM said. 
doubt	<BOS> Wills doesn’t mention the existence of such interpretations, even to dismiss them <EOS>. 
not_propaganda	Will Brett Kavanaugh <BOS> be confirmed <EOS> to the Supreme Court? 
name_calling,labeling	<BOS> Our dynamic translators <EOS> even provide their own dynamic interpretation of AL to mean that the “offering” to God of which Francis speaks is merely the decision by a divorced and “remarried” couple with children not to end their relationship, which would be the “perfect objective model,” but rather to “live in continence until they may—after the hoped for declaration of nullity—enter into a true marriage.” That is, they would have Francis affirming John Paul II’s Familiaris consortio, which repeats the Church’s constant teaching that continence is required of those who have entered into adulterous “second marriage,” failing which they cannot be admitted to the sacraments. 
name_calling,labeling	(A tyrant, moreover, who has ascended to the papacy in a manner reminiscent of the ascension of the corrupt Benedict IX, another “<BOS> disgrace to the Chair of Peter <EOS>,” following the machinations of a Roman cabal, as I discuss below.) 
not_propaganda	-1.06% Employed 26,290 27,086 796 <BOS> 3.03% Employment/population % <EOS> 63.5 63.4 -0.1 pts. 
loaded_language	I do not know when Pope Benedict took these measures against McCarrick, whether in 2009 or 2010, because in the meantime I had been transferred to the Governorate of Vatican City State, just as I do not know who was responsible for this <BOS> incredible <EOS> delay. 
not_propaganda	<BOS> You also agree to this site's <EOS> Privacy Policy and Terms of Use. 
causal_oversimplification	<BOS> For many in Congress, having so many attractive young women around is one of the key benefits of the job <EOS>. 
causal_oversimplification	<BOS> It isn’t remotely accurate, but it feels good, and for the Catholic and Leftist establishment today, that seems to be all that matters <EOS>. 
repetition	Now that President Trump is trying to clean up the mess Obama and Kerry left him, Kerry has the gall to label President Trump’s decision a "reckless abandonment of facts in favor of ego and ideology" and to accuse the Trump administration of “lying to the American people.” It was the Obama administration that <BOS> recklessly abandoned the facts <EOS> in pressing ahead with the deal. 
loaded_language	With all the <BOS> mud Democrats have been slinging at <EOS> Kavanaugh, he would be thrilled to be approved by a margin as wide as 52 to 48. 
exaggeration,minimisation	3D printers <BOS> make the already extremely difficult job of controlling access to guns practically impossible <EOS>. 
not_propaganda	But the plaintiffs in the suit and their backers argue that the program’s popularity shouldn’t matter in the face of Supreme Court rulings such as McCollum v. Board of Education in 1948 <BOS> that have <EOS> banned public schools from initiating or sponsoring religious activity. 
not_propaganda	As their U.S. allies watched, the Kurdish peshmerga fighters <BOS> were run out of Kirkuk and all the territory they had captured <EOS> fighting ISIS alongside the Americans. 
flag_waving	Placing the burden on Judge Kavanaugh to prove that he was not involved in an uncorroborated incident from years ago, about which even his accuser does not recall key details, <BOS> turns the fundamental constitutional principle of due process upside down <EOS>. 
doubt	<BOS> Why do we do this? Is it out of an earnest desire to display a misguided sense of being “pastoral?” Have we covered over the truth out of fear? Are we afraid of being disliked by people in this world? Or are we afraid of being called hypocrites because we are not striving tirelessly for holiness in our own lives <EOS>? 
doubt	<BOS> Did she disingenuously omit that inconvenient bit from her remarks, or fail to read the entire UN report? <EOS> 
repetition	<BOS> They cannot agree on <EOS> the person and work of Jesus the Christ. 
causal_oversimplification	The report said it appears “<BOS> that daring to give suggestions on how our civilization can stop jihadist attacks and another 9/11 is against Facebook’s ‘community standards <EOS>. 
flag_waving	<BOS> Make your own the act of faith and complete confidence in Christ Jesus, our Savior, of Saint Paul in his second Letter to Timothy, Scio cui credidi, which I choose as my episcopal motto. This is a time of repentance, of conversion, of prayers, of grace, to prepare the Church, the bride of the Lamb, ready to fight and win with Mary the battle against the old dragon <EOS>. 
not_propaganda	A few weeks after <BOS> Ford went public, and after Kavanaugh said he had dairies from that summer detailing his whereabouts, The New Yorker published Ramirez’s account of a drunken party filled with obscene drinking <EOS> games where he exposed himself to Ramirez. 
not_propaganda	Delay is <BOS> not an <EOS> option. 
name_calling,labeling	Again, God bless Archbishop Hebda for this welcome statement, and may God grant him the courage now to finish the task by publicly reassuring <BOS> the scandalized faithful <EOS> that it’s not just abuse of minors or sexual harassment that’s going on here. 
not_propaganda	It was only when he was forced by the report of <BOS> the abuse of a minor, again on <EOS> the basis of media attention, that he took action to save his image in the media. 
not_propaganda	They have established a formation-house <BOS> for new vocations and held a month long intensive course <EOS> according to the ratio, given by the same sisters of the federation. 
exaggeration,minimisation	It just says he was “known.” And even if he did act weirdly or strangely, if we denied constitutional rights to everyone in that category, a majority of Americans would have no rights, <BOS> and ALL of Congress would have no rights <EOS>. 
appeal_to_fear_prejudice	<BOS> The Iraqi branch of Iran’s terrorist proxy Hezbollah has vowed that once ISIS is defeated it will start killing Americans, as it has done before <EOS>. 
loaded_language	Editors’ note: In light of the skyrocketing phenomenon of Muslim migrants stabbing unbelievers in random stabbing sprees in Europe, as well as the calculated denial that leaders, authorities and media are enforcing about it, Frontpage has deemed it important to bring attention to the crucial steps America and the West must take to robustly confront <BOS> the unceasing onslaught <EOS> by Jihad and its leftist enablers. 
not_propaganda	These ballots would have been flagged for missing information or <BOS> for being filled <EOS> out with incorrect information. 
appeal_to_fear_prejudice	Children are being used as human shields in a campaign <BOS> to end national security <EOS> forever. 
not_propaganda	HOLENESS: “There ought to be at least a three-day waiting period <BOS> for everybody and a full background check for everybody… And we need to- And these automatic guns with sixteen rounds a <EOS> minute, they ought to not be on the streets either, so that’s his plan.” 
not_propaganda	<BOS> He’s the heroic security guard that allegedly located the Las Vegas <EOS> shooter, Steven Paddock. 
exaggeration,minimisation	An Arizona man who sold ammunition to the gunman in <BOS> the deadliest mass shooting in modern U.S. history <EOS> was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday. 
not_propaganda	The world <BOS> does not <EOS> understand it or want it. 
causal_oversimplification	The answer is that <BOS> this is all a ruse to block Judge Kavanaugh's confirmation by all means necessary <EOS>. 
causal_oversimplification	So, according to Faggioli, the same Pope <BOS> who sacks conservative bishops and cardinals according to his pleasure <EOS> and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males. 
not_propaganda	The second journalist to ask Francis about Barros on <BOS> the flight was a Chilean <EOS> woman. 
not_propaganda	Subsequently, around April 21-23, 2008, the Statement for Pope Benedict XVI about the pattern of sexual abuse crisis in the United States, by Richard Sipe, <BOS> was published on the internet, at <EOS> richardsipe.com. 
not_propaganda	On Wednesday, McGill <BOS> Principal Suzanne Fortier said <EOS> the University wants to ensure a safe space for all students. 
exaggeration,minimisation	By the time I arrived in Newark in November 2013, <BOS> the 2005 and 2007 settlements were apparently considered ancient history <EOS>. 
name_calling,labeling	And don’t forget, the old sorta, kinda moderate Democrats like Feinstein and Chuck Schumer, who now have joined the crowd of trendoid socialists armed with torches and pitch-forks, will go along because they’re frightened of their party’s <BOS> increasingly rabid left-wing base <EOS>. 
not_propaganda	During the time of the Warren Commission, you were Deputy Director of Plans, <BOS> is that correct? <EOS> 
appeal_to_fear_prejudice	<BOS> This is gross dereliction of duty, and we hope and pray that all the good U.S. bishops would jump at the opportunity to issue statements reaffirming the Church's clear teaching against all sins of the flesh, homo- and heterosexual <EOS>. 
causal_oversimplification	<BOS> As Successors of the Apostles, Schneider said they “could not act in another way.” <EOS> 
doubt	In order to effectuate and conceal the corrupt and fraudulent bribe payments, Lambert and others allegedly caused fake invoices to be prepared, <BOS> purportedly <EOS> from TENEX to Transportation Corporation A, that described services that were never provided, and then Lambert and others caused Transportation Corporation A to wire the corrupt payments for those purported services to shell companies in Latvia, Cyprus and Switzerland. 
not_propaganda	<BOS> They were a strong partner, among many in <EOS> this effort. 
not_propaganda	Kavanaugh's Nomination <BOS> Saved? <EOS> 
doubt	<BOS> Are Father Martin and his pals in the episcopacy really so enlightened over every pope, saint, and moral theologian in history <EOS>? 
name_calling,labeling	"One day, one of the killer's sisters pushed my sister down the stairs, and the next time she called her a <BOS> dirty Jew <EOS>," he described. 
not_propaganda	“The Fake <BOS> News <EOS> is showing old footage of people climbing over our Ocean Area Fence. 
not_propaganda	Unfortunately, <BOS> in the end, it <EOS> amounts to the same thing. 
name_calling,labeling	They gave <BOS> this jihadi <EOS> unfettered access to national security secrets. 
not_propaganda	When a little time goes by, and you have drawn conclusions, perhaps I will speak about it, but I would like your professional maturity to <BOS> do this <EOS> work. 
not_propaganda	On Wednesday, he shared with the committee information he provided to the FBI and has in the past described his frustration with the <BOS> Obama administration’s failure to stop Russia’s nuclear giant from <EOS> purchasing 20 percent of American uranium mining assets. 
not_propaganda	* Dianne Feinstein Maxine Waters Adam Schiff Chuck <BOS> Schumer Kamala Harris Kirsten Gillibrand Keith Ellison Cory <EOS> Booker 
flag_waving	As far as the labor market is concerned, “<BOS> America First <EOS>” has not translated to Americans First. 
flag_waving	According to Breitbart, in the mother’s post on Facebook, which has since been taken down, Patricia Spittler asks for help in identifying the man she called “scum bag of the year.” The San Antonio CBS affiliate reported that Spittler wrote: “His friend was wearing a <BOS> patriotic <EOS> hat, and this happened! 
not_propaganda	All three <BOS> were targeted for removal either because they are Jewish or <EOS> have vocally opposed anti-Jewish discrimination on campus. 
not_propaganda	At the Nunciature in Washington there is a note, written in his hand, in which Cardinal Re disassociates himself from the appointment and states that McCarrick was 14th on the <BOS> list for <EOS> Washington. 
not_propaganda	He will remember when, at the end of my mission in Washington, he received me at his apartment in Rome in <BOS> the evening for a long <EOS> conversation. 
repetition	Swetnick claimed to have been <BOS> gang-raped <EOS> at one of these parties in 1982 as a result of consuming a spiked drink that contained “Quaaludes or something similar.” Kavanaugh and his friend Mark Judge were present at the party at which she was raped, she states, but she doesn’t accuse them of participating in it. 
doubt	“<BOS> If BDS is not anti-Semitic, why was I barred from participating in student government because of my Jewish identity <EOS>?” 
name_calling,labeling	Trump To Jeff Sessions: Put An End to Russia Probe - Prosecutors Doing Mueller’s ‘Dirty Work Are <BOS> A Disgrace’ To America <EOS> 
causal_oversimplification	<BOS> Thus did Paul describe the conciliar “opening to the world” through which the world promptly invaded the Church, including large numbers of homosexuals who should never have been admitted to the seminary <EOS>. 
repetition	Many parents are motivated by a desire to give their children something better than a curriculum that has been <BOS> dumbed down <EOS> by federal initiatives like Common Core. 
causal_oversimplification	<BOS> For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it <EOS>. 
repetition	“<BOS> Our dedicated officers strive to make our communities safer <EOS> by arresting convicted criminal aliens and removing them from the United States despite the reckless sanctuary policies that are currently in place in Cook County that put our communities at risk,” said Ricardo Wong, field office director of ERO Chicago. 
exaggeration,minimisation	Instead, he has become the poster boy for <BOS> one of the most egregious gun control machinations of all: gun confiscation <EOS>. 
not_propaganda	<BOS> And the Church <EOS> of Christ. 
not_propaganda	There has always been a so-called mainstream which really comes down to great power <BOS> in media. <EOS> 
appeal_to_fear_prejudice	Wills never mentions Qur’an 9:29, which commands Muslims to wage <BOS> war against Jews and Christians <EOS> and subjugate them as inferiors under the rule of Sharia. 
exaggeration,minimisation	Ever since the assassination, the CIA has argued that the release of any of its JFK records would threaten “national security.” One thing is for sure and undeniable: Despite the release of many of the CIA’s records in the 1990s and yesterday, <BOS> the United States did not fall into the ocean or fall to the communists <EOS>. 
not_propaganda	<BOS> “The <EOS> White House’s interaction is, and generally should be, subject to a natural give-and-take,” Ms. Sanders wrote on Monday, suggesting that the onus was on the press corps to ensure that a “code of conduct” did not become necessary. 
not_propaganda	We should watch for that, and this is an example of President <BOS> Trump’s comments on fake news, he should not be sabotaged by <EOS> fake news.” 
not_propaganda	The fever can cause <BOS> severe internal <EOS> bleeding that is often fatal. 
not_propaganda	The Best of <BOS> Michael S. Rozeff <EOS> 
not_propaganda	Nuncio Sambi’s report, with all the attachments, was sent to Cardinal Tarcisio Bertone, as Secretary of <BOS> State. <EOS> 
not_propaganda	Troops setting up barb wire under the Hidalgo Reynosa bridge #RGV -Miltares colocan cerca alámbrica en la frontera #Texas <BOS> #Telemundo40 vid @AntonioNewsT40 pic.twitter.com/8cr3XfH2T6 — Iris Rodriguez <EOS> (@IrisNews) November 2, 2018 
causal_oversimplification	<BOS> As with everyone else the moment of death ushers them either into heaven, hell or purgatory <EOS>. 
appeal_to_fear_prejudice	<BOS> If such a law was instituted, I guarantee you that sexual harassment on Capitol Hill would come to a screeching halt <EOS>. 
causal_oversimplification	<BOS> “They used me as an example because of [the backlash over] Hillary Clinton,” <EOS> he continued, alleging his life was ruined for political reasons. 
not_propaganda	<BOS> Comments This field is for validation purposes and should be left <EOS> unchanged. 
name_calling,labeling	And no call to restore the caliphate would be complete without a swipe at the Jews, whom the Qur’an designates (5:82) <BOS> the worst enemies of the Muslims <EOS>. 
name_calling,labeling	As Robert Spencer counsels, this has to involve introducing programs that teach against <BOS> jihadists <EOS>’ understanding of Islam — and these programs have to be regularly monitored by the government. 
appeal_to_fear_prejudice	And the Preacher notes that <BOS> when “sentence is not speedily pronounced against the evil, the children of men commit evils without any fear <EOS>” (Eccles. 
appeal_to_fear_prejudice	She also pointed to what she called <BOS> the Iranian regime’s “most threatening act” <EOS> – its launch of ballistic missiles capable of carrying nuclear weapons. 
not_propaganda	In fact, there are <BOS> so many <EOS> unanswered questions that the Drudge Report even linked to an article asking them directly. 
doubt	“Despite claims by some that these are “<BOS> strobes” it remains unlikely <EOS> that this is the case, especially when you consider other footage of the helicopter taken on the night as well as research by a group of investigators who believe the first attack on October 1st was carried out from the air.” 
doubt	<BOS> Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down <EOS>. 
exaggeration,minimisation	Often, the American mainstream media becomes a de facto government employee, taking the claims of U.S. officials and reporting them as proven fact — and nothing exemplifies this penchant better than reporting on the Gulf of Tonkin incident — perhaps one of <BOS> most flagrant lies ever dreamed up <EOS> as a justification for war. 
name_calling,labeling	Sebastian Gorka is crucially correct, therefore, when he recommends a national counter-propaganda campaign that involves a two-part approach: the first being the bolstering of efforts to define our enemy (Steps #1 and #4 above) and, second, the strengthening of our allies and partners in their own counter-propaganda efforts – which must include our empowering of Muslims who are trying to form <BOS> an anti-Jihadist version of Islam <EOS>. 
not_propaganda	With regard to the <BOS> car, certainly the wish for heavenly protection – sometimes also expressed with the <EOS> help of a medal of St. Christopher, the patron saint of car drivers. 
not_propaganda	No non-Muslim student should be forced to write or say the shahada <BOS> without the qualifier “Muslims believe that…” <EOS> This is because it is a statement of faith. 
causal_oversimplification	<BOS> There is no reasonable doubt that Oswald was a U.S. intelligence agent <EOS>, one who was ordered to travel to Mexico City to set the framework for his frame-up. 
appeal_to_fear_prejudice	<BOS> The islands are grappling with physician shortages, Medicaid programs facing an impending funding cliff, and widespread disparities in Federal health programs—and that was before hurricane season <EOS>,” the lawmakers stated in a letter. 
name_calling,labeling	The Synod was convoked by Henry III, the German king and soon-to-be-crowned Holy Roman Emperor, <BOS> a pious and austere Christian and an exponent of the Cluniac spirit of reform <EOS>. 
not_propaganda	<BOS> Pilger’s <EOS> Statement 
loaded_language	You have to <BOS> whip them up into a frenzy <EOS> in order for them to vote. 
not_propaganda	<BOS> When Arnold complained, the professor said they'd reexamine the assignment, but <EOS> did not concede that Australia was a country. 
doubt	<BOS> Can the same be said for the Obama Administration <EOS>? 
not_propaganda	I’m kind of surprised there’s been <BOS> this much angst over this press conference. <EOS> 
not_propaganda	It’s a brilliant strategy, the magic <BOS> bullet that will revert the Church to the 1976 model on every <EOS> front, and very likely keep it there forever. 
appeal_to_fear_prejudice	<BOS> A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall <EOS>. 
not_propaganda	He has criminal convictions for <BOS> DUI, <EOS> domestic assault and assault. 
exaggeration,minimisation	If you legalize them, <BOS> you move closer to legalizing all illegals <EOS>. 
not_propaganda	Although he knew that he was a <BOS> corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which <EOS> was certainly not inspired by sound intentions and for love of the Church. 
not_propaganda	Then you get painted <BOS> like, <EOS> oh, Gillum is being painted, no. 
not_propaganda	WikiLeaks <BOS> Exposed <EOS> Clinton 
not_propaganda	It is as if everyone were permitted to consign to oblivion doctrine already defined by the Church, or else <BOS> to interpret it in such a way as to weaken the genuine meaning of the words or the <EOS> recognized force of the concepts involved. 
not_propaganda	And we have to start doing something <BOS> about them. <EOS> 
exaggeration,minimisation	(It might be argued, however, that if the criminal is thought to have to have <BOS> totally terminated <EOS> his victim, why not do the same to him?) 
not_propaganda	For the coming year we have 59 applications to our seminary in Econe, Switzerland – applications from the United States, from England, from <BOS> Germany, from France, and Spain. <EOS> 
loaded_language	The few bishops with sufficient spine to stand up to the pressure of both Rome and their own national conferences – newly empowered with directives to make doctrinal declarations – <BOS> will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration <EOS>. 
not_propaganda	This is the atmosphere that <BOS> Jewish students <EOS> and supporters of Israel must endure on a daily basis at McGill. 
not_propaganda	According to a report by The Intercept, the letter was relayed to lawmakers by an individual affiliated with Stanford University and concerns an incident involving the <BOS> 53-year-old <EOS> Kavanaugh and a woman while they were in high school. 
flag_waving	I think it's great that Mr. Saucier has been pardoned, I really do, but I continue to ask what a lot of <BOS> Americans <EOS> continue to ask, why does the known criminal Hillary Clinton remain at large in our country with her corrupt foundation taking in billions, her trashing our Republic and continuing to have a national voice? 
doubt	<BOS> Two months ago, Trump tweeted that he should have chosen a different person as attorney general who wouldn’t have needed to recuse himself. “I wish I did!” he wrote <EOS>. 
name_calling,labeling	<BOS> Sanctuary <EOS> City Mayor Protected Illegal Alien Mexican Rapist 
not_propaganda	Proponents of the JCPOA argue that exiting the nuclear deal unless it is changed to the Trump administration’s satisfaction would undermine U.S. credibility with North Korea and thereby kill any chance of negotiations to resolve the crisis caused by North Korea's continued testing of sophisticated nuclear arms and ballistic <BOS> missiles. <EOS> 
exaggeration,minimisation	<BOS> Without a shred of evidence <EOS>, a highly qualified judge, with no other blemish on his record, is being smeared on the national stage by a political lynch mob out for blood. 
appeal_to_fear_prejudice	This doltish and dimwitted document wreaks of psycho babble, insults the intelligence of young people, and <BOS> will destroy the future of the Church <EOS>. 
not_propaganda	Republicans sought to tie <BOS> up some loose <EOS> threads. 
not_propaganda	Story with @Haleaziz on this https://t.co/SpLVnl3bAT pic.twitter.com/1nGFRNJanJ take <BOS> our <EOS> poll - story continues below Should Jim Acosta have gotten his press pass back? 
not_propaganda	<BOS> So who is Jesus <EOS> Campos? 
not_propaganda	The piece did not include the public denial Wikileaks <BOS> issued to its 5.4 million followers one and a half hour before <EOS> it was published. 
causal_oversimplification	“That’s kind of my attitude now: <BOS> If I don’t expect the Catholic Church to do anything, then I won’t be too disappointed when they don’t do anything <EOS>,” he continued. 
not_propaganda	As a result of the news, President Donald Trump has threatened to send the military to the border to block <BOS> them. <EOS> 
not_propaganda	<BOS> As Common Dream’s Reza Marashi <EOS> explained: 
causal_oversimplification	<BOS> All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does <EOS>. 
not_propaganda	Nobody was <BOS> ever admitted without being entered in <EOS> the logs. 
